text,img,label
Religious leaders meet at Lakemba mosque in Sydney to pray for hostages  #sydneysiege,1989,0
The Foreign Office’s Union flag at half mast today. Our thoughts with the French people. #CharlieHebdo #JeSuisCharlie,582,0
A million copies of Charlie Hebdo will be published on Wednesday,520,0
UPDATED: Photos from shooting on Parliament Hill:,1589,0
"#CharlieHebdo mocked muslims, christians, jewish and buddists none of them responed violently except for muslims!",152,0
Soldier shot at Canada National War Memorial has died; police are looking for several suspects,1758,1
The RCMP intervention team members Parliament Hill,1585,0
Thank you PBO. #Ferguson #MikeBrown,1249,0
Why it's Charlie Hebdo's right to draw Muhammad,14,0
"If your religion is worth killing for, please start with yourself. #CharlesHebdo #PerisShooting #JeSuisCharlie",416,0
#sydneysiege Australians rally against Islamophobia with #illridewithyou hashtag,1985,0
BREAKING: Police says siege at #Sydney cafe is over and hostages have been released.,2076,0
Single-aisle Airbus A320s are the workhorses of the global fleet &amp; proliferate across European skies #4U9525,1457,0
What we know about the gunmen in the #CharlieHebdo attack:,43,0
"At least five people have been taken hostage at the kosher grocery, reports say #ParisAttacks",957,1
Twenty-four-year-old Cpl. Nathan Cirillo was shot dead today at the War Memorial in #Ottawa. #cdnpoli #OttawaShooting,1795,1
VIDEO Just on CBC NN: @globeandmail video showing shots fired inside Parliament Hill. #cdnpoli,1738,1
I love these powerful and important images put out by artists in response to the Charlie Hebdo attack.,611,0
Powerful series of images of one of the hostages escaping #sydneysiege,2196,1
"This is #Ferguson, a suburb in America.",1081,0
Banksy's response to the #CharlieHebdo attack isn't by Banksy. But it is striking:,896,1
#Paris update 3: Multiple mosques attacked in France after #CharlieHebdo.,448,0
"MT @KreaseChan The sort of free expression all authoritarians tolerate, from Syrian artist Ali Farzat. #JeSuisCharlie",201,0
Police dogs snarl at a crowd of mourners in #Ferguson. They are mourning the killing of another teenager by police,1008,0
The route of the Germanwings Airbus A320 plane which has crashed. Updates of #alpscrash here:,1403,0
"#CharlieHebdo’s Charb: ""I would rather die standing up than live on my knees�",161,0
We are observing a minute's silence today at 11am. If you support press freedom please share &amp; join us #JeSuisCharlie,397,0
"Yesterday, today, tomorrow #JeSuisCharlie",345,0
"Chairs piled against the door. This is surreal. RT""@grahamctv: Shot from inside caucus room after shooting.",1612,0
Especially poignant this week: Bill Hicks on what free speech really means,568,0
Full @GlobeOpinion editorial on slain #CharlieHebdo journalists:  #JeSuisCharlie,291,0
Australia's reaction to the #sydneysiege is magnificent,2014,0
Breaking: Sydney On Lockdown as Dramatic Siege Unfolds,2126,1
The Canadian anthem will be performed at Flyers-Penguins tonight in support of Ottawa:,1677,0
"Photos of the scene in Ottawa, where police confirm 'several' shootings",1745,1
"The day #Ferguson cops told a dirty, bloody lie (via @thedailybeast):",1373,1
Update: There are 2 standoffs happening in Paris now. Both reportedly involve hostages. Live:,688,0
"Incredibly sad pic of #CharlieHebdo cartoonist Wolinski's desk posted by his daughter. ""Papa est parti pas Wolinski.""",310,0
Exactly the right response: mass #CharlieHebdo sharing starts at 14 GMT via @IndexCensorship,511,0
#BREAKING news: Shots fired at Parliament Hill. Follow developing story:,1699,1
"This is Kevin Vickers, sergeant-at-arms who reportedly killed a shooter  inside the Parliament buildings #Ottawa",1755,1
At least 12 dead in terrorist attack at satirical magazine in Paris. Our live blog:,134,0
Political cartoonists are mourning #CharlieHebdo by retaliating the only way they know how. On pen and paper.,743,0
Situation in #Ferguson getting very tense after police killed unarmed teenager Mike Brown (photo: @AntonioFrench),1007,0
BREAKING: Terrorist involved in Sydney siege is 50 year old Iranian known as 'Sheikh Haron'.,2037,0
"Gunman takes hostages in Sydney cafe, displays flag w/ Arabic script:",1963,0
"Evil rears its head again, but cartoonists will not cower. My toon:",585,0
"#Breaking: french police release portrait of susp #Montrouge shooters same of hostage situation #Paris ""@prefpolice",689,0
CERN put flags at half-mast and observed a minute's silence today in solidarity with #CharlieHebdo #JeSuisCharlie,566,0
"JUST IN: Guman in #sydneysiege identified as Man Haron Monis, a radical Muslim cleric",2039,0
real. #Ferguson #mikebrown RT @CleoTrappa_: This. Struck. A. Chord.,1325,0
I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance.,42,0
#BREAKING Multiple sources tell @CNN Michael Zehaf-Bibeau is likely shooter in #OttawaShooting,1823,1
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP),951,1
"The Canadian soldier shot at the War Memorial has died, officials reported.",1766,1
14 Dec: Australian Muslim youth handed out 2000 flowers and 3600 water bottles to ppl in sydney #illridewithyou,2026,0
Images from the scene of the deadly shooting in Ottawa.,1664,0
Flags at half mast in Whitehall and Downing Street #charliehebdo,473,0
#Ferguson cops beat this man � then charged him for getting blood on their uniforms,1372,1
Germanwings crash: 3 different scenarios to unlock and lock the cockpit door,1498,0
#BREAKING: Police storm hostage-taker at Paris grocer,784,0
"#JeSuisCharlie #CharlieHebd #ChalieHebdo One Child, one teacher, one book, and one pen,can Change the World -Malala-",165,0
The first person killed in Charlie Hebdo attacks was Muslim police officer,371,0
This Is Why I and Other Muslims Won't Apologize for the Charlie Hebdo Attacks,581,0
Follow our live coverage of the shootings in Ottawa here:,1638,0
Love is stronger than hate #CharlieHebdo,137,0
An explosion has been reported near a mosque in Paris. Updates:,343,0
People are now matching to the #Ferguson Police Dept headquarters.,994,0
Last few positions of the @germanwings flight plotted on a map,1395,0
"87 y.o French cartoonist Uderzo, creator of Asterix, comes out of retirement for #CharlieHebdo (H/T @WilliamsJon):",693,0
Latest on the #GermanWings crash from our correspondent @H_E_Samuel,1437,0
"BREAKING UPDATE: 2 hostages escape Lindt Café through front door, 1 via fire door",2179,1
Media obsesses over free speech for #CharlieHebdo while ignoring Israeli targeting journalists,772,0
End police brutality sign at #mikebrown memorial in #ferguson,1132,0
Iranian cartoonist for #CharlieHebdo,327,0
We have reached peak stupid,574,0
Wrote and drew this on #CharlieHebdo and the history of cartoonists killed for their work,562,0
"Police establish tight cordon around second hostage scene in #Paris. Eery quiet, except for buzz from helicopters.",683,0
"Tracking data shows descent of #4U9525 was very aggressive, but not full freefall. (image via @planefinder)",1549,1
DEVELOPING: Major police operation underway in Sydney's central business district:,1846,0
Here’s the grocery store in eastern Paris where hostage crisis is unfolding,717,0
The last person killed in Charlie Hebdo attacks was Muslim police officer,901,1
People should actually know the difference. #JeSuisCharlie,662,0
Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie,4,0
Police in #Ferguson haven't been wearing identification:,1316,0
Watch gunfire erupt and hostages flee chocolate shop as #SydneySiege ends,2080,0
RT .@FOX2now: The #STL SWAT team has weapons drawn in #Ferguson at a protest in broad daylight with media attending,1170,0
Kevin Vickers hailed as hero who took down attacker at Parliament Hill:,1782,1
#CharlieHebdo liveblog by @Independent says news director Charb in critical cond. AQ put price put his head in '13,835,1
.@BuzzFeed reporter describes the scene outside Lindt cafe in #sydneysiege,1918,0
"Condolences pour in for family of Cpl. Nathan Cirillo, killed in #OttawaShooting",1832,1
#BREAKING news: Shots fired at Parliament Hill. Follow developing story:,1701,1
"Canadian police say #OttawaShooting ""caught us by surprise""",1653,0
"Trayvon Martin, Jordan Davis, Jonathan Ferrell... and now #MikeBrown. Who is next?",1125,0
Germanwings flight #4U9525 from Barcelona to Dusseldorf has crashed in southern France:,1435,0
We stand united with the victims of the brutal attack in Paris and with the people of France! #JeSuisCharlie RT!,406,0
Mourners hold signs showing victims' eyes during #JeSuisCharlie rally in NY,488,0
Update: French interior ministry says Trocadero security scare is a false alarm. #ParisAttacks,971,1
LIVE FEED from scene of standoff between #CharlieHebdo shooting suspects &amp; police,645,0
Our thoughts and prayers are with the hostages and the families in Sydney. #sydneysiege,2151,1
Police in armored trucks/riot gear in #Ferguson unsuccessfully trying to get demonstrators to leave. #MichaelBrown,1212,0
RT @newscomauHQ: Every Australian should be very proud of their police force today. #sydneysiege,1943,0
"On the darkest of days, like this, the French philosopher Voltaire perhaps say it best: #CharlieHebdo",109,0
"After criticism, Uber now picking riders in downtown Sydney for free during hostage crisis.",2164,1
Perhaps the best #JeSuisCharlie cartoon yet...,463,0
"Michelle Stanistreet, general secretary of the National Union of Journalists (UK) on the #CharlieHebdo attack:",119,0
At least 72 Germans and 35 Spanish killed in #Germanwings crash: Airline,1557,1
What jihadists are saying about the deadly attack on French magazine Charlie Hebdo,254,0
Prince Harry signs a book of condolence at the French Embassy in London after the attacks in #Paris,748,0
Missouri Mayor: Looters came from out of town.,1089,0
At least two killed in hostage drama east of Paris. Photo @MartinBureau1 #AFP,962,1
Soldier killed at war memorial identified as Nathan Cirillo #HamOnt #OttawaShooting #cndpoli,1792,1
"They wanted to bring France to her knees. Instead, France stood up. #JeSuisCharlie",330,0
"Australia's PM says there are ""some indications"" the Sydney siege may be politically motivated",1908,0
�#Ottawa shooting shouldn’t be used as pretext for stripping away more civil liberties�,1685,0
French police publishes photos of suspect in yesterday's Montrouge shooting. Maybe the same persons in Kosher market,961,1
"A reminder: A SWAT team the size of TX showed up to the top location, but not the bottom one. #Ferguson #BundyRanch",1199,0
Dozens of heavily armed police have surrounded the cafe in Sydney's Martin Place. #sydneysiege,1853,0
Powerful &amp; harrowing image of a Lindt workers escaping the #sydneysiege,2207,1
"RT @socdec: #Charb, cartoonist killed in #ParisShooting, after death threats",308,0
What we know about the suspected #CharlieHebdo gunmen:,691,0
"UNCONFIRMED: this image, reportedly from local newspaper le Dauphine, also circulating. #4U9525",1495,0
Prophet Mohammed cartoons republished by Danish newspaper in wake of #CharlieHebdo attack,347,0
#illridewithyou: Viral Aussie solidarity amid #SydneySiege Islamic State links,2027,0
"12 dead in Paris attack on #CharlieHebdo office, five others critical",830,1
It could be better to have zero pilots in a cockpit instead of one:,1504,0
